Nombre para mostrar;Clr Clb Newucmdb;Clr Service Code;Subtipo;Grupo de administración de configuración;Clr Istatus;Título;Comentarios;Clr Arr Location;Fecha y hora de modificación del sistema
"V14-FogaAntBack@FG3K1B3I11700698 (mithrandir)";"false";"fdgda18";"VDOM Interface";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"TELMEX SEGURIDAD";"***OJO NEGOCIACION 1 MES SIN COSTO *** COMPROMISO // MEDELLIN - FIREWALL DE 1M  // REEMPLAZO OT 5699023 ***  LEGALIZACION ***";"";"08/04/20 12:11:52"
"FW_SERVICIOS-ESPECIALES_BOGOTA";"true";"ZIFL022";"FIREWALL HA";"Datacenter - Seguridad Administrada";"(activo)";"Servicios Especiales Datacenter";"SOP COM CORP // BOGOTA // DATA CENTER TRIRA // SERVICIOS ESPECIALES DATACENTER (SERVICIOS PROFESIONALES IT)";"";"10/02/23 01:54:30"
"V49-KOBABACKMPL (fw-chasis-bk3)";"false";"kcv0038";"VDOM Interface";"Datacenter - Seguridad Administrada";"(activo)";"Firewall Administrado";"Firewall Administrado: Koba Colombia +Internet 3M // Licenciamiento Hasta 01-02-2018 // Contrato de soporte hasta 31-12-2017 // Servicios UTM : IPS + FW + FURL + VPNs  Vdom49 del Chasis";"";"08/04/20 12:13:12"
"fw-motorysa";"true";"MYN0004";"Firewall";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOAV FIREWALL DEDICADO";"TRIARA\BUNKER1\AF6(AB)\32";"26/08/22 09:56:08"
"FW-CAP_SALUD2";"false";"dnv0006";"Firewall HA";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"E-BUSINESS HOSTING DEDICADO";"SOPORTE COMERCIAL CORP//CORREO//HOSTING (Hosting Virtual)//TRIARA//Bogota";"TRIARA\BUNKER4\BE5(AB)\15";"20/02/23 15:00:59"
"V05-ALPOBD@FG1K5D3I14803459 (fw-cloud_aval_triara_aw13)";"false";"aag0277";"VDOM Interface";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"FIREWALL TELMEX";"SOP. COMERCIAL CORP. // SAP 6000007219 // Bogotá // Triara // FIREWALL // 100M";"";"17/08/22 16:39:42"
"FW-SEGCONF1";"false";"sgz0088";"Firewall HA";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"FIREWALL TELMEX";"SOP CORP COMERCIAL //  TRIARA - BOGOTA //  FIREWALL DC Principal: FireWall";"TRIARA\BUNKER2\T6(AB)\18";"03/11/22 22:24:43"
"fw_axa_cali_cll22";"false";"sfw0191";"Firewall";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"FIREWALL TELMEX";"SOP COMERCIAL CORP // CORREO //  CALI // CALLE 22 NORTE NO 5 BN -102 VERSALLES PISO 1 Y PISO 2// CALI VERSALLES// FIREWALL EN CLIENTE//";"SEDE CLIENTE";"10/10/22 16:02:17"
"V01-TRANSTEVBAC@FG3K1B3I11700698 (mithrandir)";"false";"ttf0021";"VDOM Interface";"DATACENTER - SEGURIDAD ADMINISTRADA";"(activo)";"TELMEX SEGURIDAD";"SOAV CORP.// MAIL - SEGURIDAD ADMINISTRADA FIREWALL (PROYECTO TRANSPORTES TEV)//BOGOTA";"";"08/04/20 12:17:43"
"faz_tmp0287_el_tiempo_300g";"true";"TMP0287";"Computer";"Datacenter - Seguridad Administrada";"(activo)";"FIREWALL TELMEX";"SOP COM CORP // SAP 6000011557 // FW EL TIEMPO CEET";"SEDE CLIENTE";"22/04/23 07:03:11"
